recipe_id,ingredient_id,ingredient_index,qty_value,unit,portion_factor,ingredient_line_raw,parse_status,review_reason
275,558,2,2.0,Teaspoons,1.0,2 Teaspoons Soda or Bicarbonate of Soda,review,contains_conjunction
275,522,3,0.5,Teaspoon,1.0,1/2 Teaspoon Salt,ok,
275,513,4,1.0,ripe,1.0,1 ripe Tomato,ok,
275,497,5,0.5,red,1.0,1/2 red Onion (optional),ok,
275,625,6,2.0,cups,1.0,2 cups Water,ok,
276,530,1,,,1.0,600g Samp,ok,
276,95,2,1.0,cup,1.0,1 cup Brown sugar,ok,
276,522,3,2.0,Teaspoons,1.0,2 Teaspoons Salt,ok,
276,459,4,2.0,cups,1.0,2 cups pounded groundnuts,ok,
276,556,5,3.0,Tablespoons,1.0,3 Tablespoons smooth peanut butter,ok,
276,625,6,,,1.0,Water,ok,
277,580,1,,,1.0,"700g Sweet Potatoes, peeled and cubed",review,contains_conjunction
277,459,2,,,1.0,300g pounded Groundnuts,ok,
277,522,3,1.0,Teaspoon,1.0,1 Teaspoon Salt,ok,
277,422,4,2.0,cups,1.0,2 cups Peanut Butter,ok,
277,625,5,,,1.0,Water,ok,
278,589,1,,,1.0,500g Tente Mushroom,ok,
278,273,2,1.0,Large,1.0,1 Large Green Pepper,ok,
278,497,3,1.0,Large,1.0,1 Large Red Onion,ok,
278,615,4,2.0,Tablespoons,1.0,2 Tablespoons Vegetable Oil,ok,
278,597,5,1.0,Large,1.0,"1 Large Tomato, grated",ok,
278,63,6,0.25,Teaspoon,1.0,1/4 Teaspoon Black Pepper,ok,
278,522,7,0.5,Teaspoon,1.0,1/2 Teaspoon Salt,ok,
278,561,8,1.0,Tablespoon,1.0,1 Tablespoon Soy Sauce (Optional),ok,
278,193,9,1.0,Tablespoon,1.0,1 Tablespoon Cream of Mushroom soup/Bisto or gravy thickener (Optional),review,long_base_phrase;contains_conjunction
