fdc_id,g_per_ml,source_portion
2705869,0.5625,1 cup
2705870,0.5625,1 cup
2705871,0.5625,1 cup
2705872,0.5625,1 cup
2705873,0.5625,1 cup
2705874,0.5625,1 cup
2705875,0.5625,1 cup
2705876,0.5625,1 cup
2705877,0.5625,1 cup
2705878,0.5625,1 cup
2705879,0.2333,1 cup
2705880,0.5625,1 cup
2705881,0.5208,1 cup
2705882,0.5625,1 cup
2705884,1.0984,"1 cubic inch, cooked"
2705885,0.3333,"1 cup, pieces"
2705886,0.3333,"1 cup, pieces"
2705887,0.3333,"1 cup, pieces"
2705888,0.3333,"1 cup, pieces"
2705889,0.3333,"1 cup, pieces"
2705891,0.3333,"1 cup, pieces"
2705892,0.5333,"1 cup, cooked"
2705893,0.5625,1 cup
2705894,0.5625,1 cup
2705895,0.375,1 cup
2705897,0.2292,1 cup
2705898,0.3333,1 cup
2705900,0.5833,1 cup
2705901,0.5625,1 cup
2705902,0.125,1 cup
2705903,1.0,1 tablespoon
2705905,0.5625,1 cup
2705906,0.5625,1 cup
2705907,0.5208,1 cup
2705908,0.5625,1 cup
2705909,0.5625,1 cup
2705910,0.5208,1 cup
2705912,0.5625,1 cup
2705913,0.5625,1 cup
2705914,0.5625,1 cup
2705915,0.5833,1 cup
2705916,0.5625,1 cup
2705917,0.5625,1 cup
2705918,0.5625,1 cup
2705919,0.5625,1 cup
2705920,0.5625,1 cup
2705921,0.5625,1 cup
2705922,0.5625,1 cup
2705923,0.5625,1 cup
2705924,0.5625,1 cup
2705925,0.5625,1 cup
2705926,0.5625,1 cup
2705927,0.5625,1 cup
2705928,0.5625,1 cup
2705929,0.5625,"1 cup, cooked, diced"
2705930,0.5625,"1 cup, cooked, diced"
2705931,0.5625,"1 cup, cooked, diced"
2705932,0.5625,"1 cup, cooked, diced"
2705933,0.5625,"1 cup, cooked, diced"
2705934,0.5625,"1 cup, cooked, diced"
2705935,0.5625,"1 cup, cooked, diced"
2705936,0.5625,"1 cup, cooked, diced"
2705937,0.5625,"1 cup, cooked, diced"
2705938,0.5625,"1 cup, cooked, diced"
2705939,0.5625,"1 cup, cooked, diced"
2705940,0.5625,"1 cup, cooked, diced"
2705941,0.5625,"1 cup, cooked, diced"
2705942,0.5625,"1 cup, cooked, diced"
2705943,0.5625,"1 cup, cooked, diced"
2705944,0.6875,"1 cup, cooked, diced"
2705945,0.6875,"1 cup, cooked, diced"
2705946,0.6875,"1 cup, cooked, diced"
2705947,0.5625,"1 cup, cooked, diced"
2705948,0.5625,"1 cup, cooked, diced"
2705949,0.5625,"1 cup, cooked, diced"
2705950,0.5625,"1 cup, cooked, diced"
2705951,0.5625,"1 cup, cooked, diced"
2705952,0.5625,"1 cup, cooked, diced"
2705953,0.5625,"1 cup, cooked, diced"
2705954,0.5625,"1 cup, cooked, diced"
2705955,0.5625,"1 cup, cooked, diced"
2705956,0.5625,"1 cup, cooked, diced"
2705957,0.5625,"1 cup, cooked, diced"
2705958,0.5625,"1 cup, cooked, diced"
2705959,0.5625,"1 cup, cooked, diced"
2705960,0.5625,"1 cup, cooked, diced"
2705961,0.5625,"1 cup, cooked, diced"
2705962,0.5625,"1 cup, cooked, diced"
2705963,0.5625,"1 cup, cooked, diced"
2705964,0.5625,"1 cup, cooked, diced"
2705965,0.5625,"1 cup, cooked, diced"
2705966,0.5625,"1 cup, cooked, diced"
2705967,0.5625,"1 cup, cooked, diced"
2705968,0.5625,"1 cup, cooked, diced"
2705969,0.6875,"1 cup, cooked, diced"
2705970,0.6875,"1 cup, cooked, diced"
2705971,0.5625,"1 cup, cooked, diced"
2705972,0.5625,"1 cup, cooked, diced"
2705973,0.5625,"1 cup, cooked, diced"
2705974,0.5625,"1 cup, cooked, diced"
2705975,0.5625,"1 cup, cooked, diced"
2705976,0.5625,"1 cup, cooked, diced"
2705977,0.5625,"1 cup, cooked, diced"
2705978,0.5625,"1 cup, cooked, diced"
2705979,0.5625,"1 cup, cooked, diced"
2705980,0.5625,"1 cup, cooked, diced"
2705981,0.5625,"1 cup, cooked, diced"
2705982,0.5625,"1 cup, cooked, diced"
2705983,0.5625,"1 cup, cooked, diced"
2705984,0.5625,"1 cup, cooked, diced"
2705985,0.5625,"1 cup, cooked, diced"
2705986,0.5625,"1 cup, cooked, diced"
2705987,0.5625,"1 cup, cooked, diced"
2705988,0.5625,"1 cup, cooked, diced"
2705989,0.5625,"1 cup, cooked, diced"
2705990,0.5625,"1 cup, cooked, diced"
2705991,0.5625,"1 cup, cooked, diced"
2705992,0.6875,"1 cup, cooked, diced"
2705993,0.6875,"1 cup, cooked, diced"
2705994,0.5625,"1 cup, cooked, diced"
2705995,0.5625,"1 cup, cooked, diced"
2705996,0.5625,"1 cup, cooked, diced"
2705997,0.5625,"1 cup, cooked, diced"
2705998,0.5625,"1 cup, cooked, diced"
2705999,0.5625,"1 cup, cooked, diced"
2706000,0.5625,"1 cup, cooked, diced"
2706001,0.5625,"1 cup, cooked, diced"
2706002,0.5625,"1 cup, cooked, diced"
2706003,0.5625,"1 cup, cooked, diced"
2706004,0.5625,"1 cup, cooked, diced"
2706005,0.5625,"1 cup, cooked, diced"
2706006,0.5625,"1 cup, cooked, diced"
2706007,0.5625,"1 cup, cooked, diced"
2706008,0.5625,"1 cup, cooked, diced"
2706009,0.5625,"1 cup, cooked, diced"
2706010,0.5625,"1 cup, cooked, diced"
2706011,0.5625,"1 cup, cooked, diced"
2706012,0.6875,"1 cup, cooked, diced"
2706013,0.6875,"1 cup, cooked, diced"
2706014,0.5625,"1 cup, cooked, diced"
2706015,0.5625,"1 cup, cooked, diced"
2706016,0.5625,"1 cup, cooked, diced"
2706017,0.5625,"1 cup, cooked, diced"
2706018,0.5625,"1 cup, cooked, diced"
