recipe_id,ingredient_id,ingredient_index,portion_factor,actual_measure,measure_only
46,251,9,1,,3 cloves
46,616,10,1,,
46,159,11,1,,? cup
46,189,12,1,,
47,397,1,1,60 ml,4 tablespoon
47,638,2,1,,1 large
47,199,3,1,8 g,3 teaspoon
47,411,4,1,6 g,2 teaspoon
47,501,5,1,2 g,2 teaspoon
47,159,6,1,20 g,? cup
47,251,7,1,,2 cloves
47,597,8,1,161 g,1 cup
47,150,9,1,16-oz [448-g],3 cans
47,626,10,1,,
47,522,11,1,30 g,2 tablespoon
47,7,12,1,,
47,288,13,1,,
49,555,1,1,,
49,333,2,1,30 ml,2 tablespoon
49,604,3,1,16 g,2 tablespoon
49,197,4,1,8 g,1 tablespoon
49,180,5,1,4 g,? tablespoon
49,403,6,1,3 g,1 tablespoon
49,251,7,1,,4 cloves
49,522,8,1,,1 teaspoon
49,63,9,1,,1 teaspoon
49,397,10,1,30 ml,2 tablespoon
49,399,11,1,,1 small
49,604,13,1,8 g,1 tablespoon
49,197,14,1,,1 teaspoon
49,251,15,1,,1 clove
49,34,16,1,317 g,
49,134,17,1,360 ml,
49,625,18,1,240 ml,1 cup
49,276,20,1,,
50,397,1,1,30 ml,2 tablespoon
50,497,2,1,,1 medium
50,651,3,1,,1 large
50,402,4,1,,1 medium
50,671,5,1,,1 large
50,251,6,1,,3 cloves
50,148,7,1,240 ml,1 cup
50,418,8,1,300 g,2 cups
50,412,9,1,,1 teaspoon
50,197,10,1,,1 teaspoon
50,180,11,1,,1 teaspoon
50,604,12,1,,? teaspoon
50,160,13,1,,? teaspoon
50,188,14,1,270 g,
50,150,15,1,16-oz [448-g],1 can
50,190,16,1,50 g,? cup
50,663,17,1,,
50,431,18,1,161 g,
50,159,19,1,6 g,2 tablespoon
50,415,20,1,2 g,2 teaspoon
50,525,21,1,,
51,662,1,1,900 g,
51,526,2,1,,
51,410,3,1,30 g,? cup
51,253,4,1,,1 teaspoon
51,604,5,1,,1 teaspoon
51,197,6,1,,1 teaspoon
51,400,7,1,,1 teaspoon
51,415,8,1,9 g,3 tablespoon
51,209,9,1,,2 large
51,616,10,1,,
51,11,11,1,,
52,182,1,1,4 g,
52,199,2,1,,1 teaspoon
52,501,3,1,,1 teaspoon
52,412,4,1,,1 teaspoon
52,160,5,1,,1 teaspoon
52,116,6,1,,? teaspoon
52,261,7,1,,? teaspoon
52,604,8,1,,? teaspoon
52,660,9,1,900 g,
52,523,10,1,,
52,397,11,1,45 ml,3 tablespoon
52,474,12,1,12 g,
52,268,13,1,184 g,? cup
52,547,14,1,30 ml,2 tablespoon
52,368,15,1,20 g,? cup
