recipe_id,recipe_name,local_path,source_url,status
233,Sesame Fried Pork & Penne Pasta,assets/photos/233.jpg,https://www.zimbokitchen.com/sesame-fried-pork-penne-pasta/,ok
234,Chisa Nyama Pork Chops,assets/photos/234.jpg,https://www.zimbokitchen.com/chisa-nyama-pork-chops/,ok
235,Smokey BBQ Mince & Sausage Stew,assets/photos/235.jpg,https://www.zimbokitchen.com/smokey-bbq-mince-sausage-stew/,ok
236,"Baked Lemon, Garlic ‘n Herb Kariba Bream",assets/photos/236.jpg,https://www.zimbokitchen.com/baked-lemon-garlic-n-herb-kariba-bream/,ok
237,Baked BBQ Sauce Chicken Thighs,assets/photos/237.jpg,https://www.zimbokitchen.com/baked-bbq-sauce-chicken-thighs/,ok
238,Vanilla Sorghum Muffins,assets/photos/238.jpg,https://www.zimbokitchen.com/vanilla-sorghum-muffins/,ok
239,Tasty Mild Spiced Rice,assets/photos/239.jpg,https://www.zimbokitchen.com/tasty-mild-spiced-rice/,ok
240,Egg-free Banana Cinnamon Loaf,assets/photos/240.jpg,https://www.zimbokitchen.com/egg-free-banana-cinnamon-loaf/,ok
241,How to cook Sadza ReMhunga,assets/photos/241.jpg,https://www.zimbokitchen.com/how-to-cook-sadza-remhunga/,ok
242,Easy Mince & Vegetable Stew,assets/photos/242.jpg,https://www.zimbokitchen.com/easy-mince-vegetable-stew/,ok
243,Sour Cream ‘n Chives Mashed Potatoes,,https://www.zimbokitchen.com/sour-cream-n-chives-mashed-potatoes/,"error: HTTPSConnectionPool(host='www.zimbokitchen.com', port=443): Read timed out."
244,Delicious Porridge reMapfunde (Sorghum),assets/photos/244.jpg,https://www.zimbokitchen.com/delicious-porridge-remapfunde-sorghum/,ok
245,Mild Curry Egg Fried Rice,assets/photos/245.jpg,https://www.zimbokitchen.com/mild-curry-egg-fried-rice/,ok
246,Delish Roasted Potatoes,assets/photos/246.jpg,https://www.zimbokitchen.com/delish-roasted-potatoes/,ok
247,Delicious Whole Wheat Mhunga Bread,,https://www.zimbokitchen.com/delicious-whole-wheat-mhunga-bread/,"error: HTTPSConnectionPool(host='www.zimbokitchen.com', port=443): Read timed out. (read timeout=15)"
248,Tasty Curried Rice,,https://www.zimbokitchen.com/tasty-curried-rice/,"error: HTTPSConnectionPool(host='www.zimbokitchen.com', port=443): Max retries exceeded with url: /tasty-curried-rice/ (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.zimbokitchen.com', port"
249,How to Cook Mupunga (Traditional Brown Rice),assets/photos/249.jpg,https://www.zimbokitchen.com/how-to-cook-mupunga-traditional-brown-rice/,ok
250,Mutakunanzva Kariba Bream Fish Stew,assets/photos/250.jpg,https://www.zimbokitchen.com/mutakunanzva-kariba-bream-fish-stew/,ok
251,Zviyo and Custard Rock Buns,assets/photos/251.jpg,https://www.zimbokitchen.com/zviyo-and-custard-rock-buns/,ok
252,Sticky BBQ T-Bone Steak,assets/photos/252.jpg,https://www.zimbokitchen.com/sticky-bbq-t-bone-steak/,ok
253,Delicious Mupunga (Brown Rice) Sadza,assets/photos/253.jpg,https://www.zimbokitchen.com/delicious-mupunga-brown-rice-sadza/,ok
254,Simply Delicious Baked Pork Fillet,assets/photos/254.jpg,https://www.zimbokitchen.com/simply-delicious-baked-pork-fillet/,ok
255,Roasted Portuguese Chicken Masala Thighs,assets/photos/255.jpg,https://www.zimbokitchen.com/roasted-portuguese-chicken-masala-thighs/,ok
256,Sadza reMhunga & BBQ Beef Short Ribs,assets/photos/256.jpg,https://www.zimbokitchen.com/sadza-remhunga-bbq-beef-short-ribs/,ok
257,Delectable Lemon ‘n Herb Roasts,assets/photos/257.jpg,https://www.zimbokitchen.com/delectable-lemon-n-herb-roasts/,ok
258,Delicious Oyster Mushroom Stew,assets/photos/258.jpg,https://www.zimbokitchen.com/delicious-oyster-mushroom-stew/,ok
259,Mufushwa weMunyemba unedovi,assets/photos/259.jpg,https://www.zimbokitchen.com/mufushwa-wemunyemba-unedovi/,ok
260,Delicious Fish Curry,assets/photos/260.jpg,https://www.zimbokitchen.com/delicious-fish-curry/,ok
261,Sticky BBQ Rack of Ribs,assets/photos/261.jpg,https://www.zimbokitchen.com/sticky-bbq-rack-of-ribs/,ok
262,Lemon Poppy Seed Loaf,assets/photos/262.jpg,https://www.zimbokitchen.com/lemon-poppy-seed-loaf/,ok
263,Beef Kidneys,assets/photos/263.jpg,https://www.lubzonline.com/beef-kidneys/,ok
264,Beef Offal,assets/photos/264.jpg,https://www.lubzonline.com/beef-offals-a-k-a-entrails/,ok
265,Beef Trotters,assets/photos/265.jpg,https://www.lubzonline.com/beef-trotters/,ok
266,Bondwe with Okra,assets/photos/266.jpg,https://www.lubzonline.com/bondwe-with-okra/,ok
267,Bondwe,assets/photos/267.jpg,https://www.lubzonline.com/bondwe/,ok
268,Fried Kapenta,assets/photos/268.jpg,https://www.lubzonline.com/fried-kapenta/,ok
269,Impwa (Garden Eggs),assets/photos/269.jpg,https://www.lubzonline.com/impwa-garden-eggs/,ok
270,Kabulangeti Beans,assets/photos/270.jpg,https://www.lubzonline.com/kabulangeti-beans/,ok
271,Kalembula (Sweet Potato leaves),assets/photos/271.jpg,https://www.lubzonline.com/kalembula/,ok
272,Lumanda with pounded Groundnuts,assets/photos/272.jpg,https://www.lubzonline.com/lumanda-with-pounded-groundnuts/,ok
273,Lusaka Bean Curry,,https://www.lubzonline.com/lusaka-bean-curry/,"error: HTTPSConnectionPool(host='www.lubzonline.com', port=443): Max retries exceeded with url: /lusaka-bean-curry/ (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.lubzonline.com', port=443)"
274,Nshima,,https://www.lubzonline.com/nshima/,"error: HTTPSConnectionPool(host='www.lubzonline.com', port=443): Max retries exceeded with url: /nshima/ (Caused by ConnectTimeoutError(<HTTPSConnection(host='www.lubzonline.com', port=443) at 0x224a1"
276,Samp in Groundnut sauce,assets/photos/276.jpg,https://www.lubzonline.com/samp-in-groundnut-sauce/,ok
277,Sweet Potatoes in Groundnut Sauce,assets/photos/277.jpg,https://www.lubzonline.com/sweet-potatoes-in-groundnut-sauce/,ok
278,Wild Mushroom : Tente,assets/photos/278.jpg,https://www.lubzonline.com/wild-mushroom-tente/,ok
279,CAPE MALAY PICKLED FISH,assets/photos/279.jpg,https://www.allrecipes.com/recipe/104444/cape-malay-pickled-fish/,ok
280,LAMB TAGINE,assets/photos/280.jpg,https://www.allrecipes.com/recipe/105044/lamb-tagine/,ok
281,MOROCCAN COUSCOUS,assets/photos/281.jpg,https://www.allrecipes.com/recipe/105045/moroccan-couscous/,ok
282,MOROCCAN LENTIL SOUP,assets/photos/282.jpg,https://www.allrecipes.com/recipe/12960/moroccan-lentil-soup/,ok
284,AFRICAN-STYLE OXTAIL STEW,assets/photos/284.jpg,https://www.allrecipes.com/recipe/137967/african-style-oxtail-stew/,ok
285,MARRAKESH VEGETABLE CURRY,assets/photos/285.jpg,https://www.allrecipes.com/recipe/13988/marrakesh-vegetable-curry/,ok
287,ETHIOPIAN CABBAGE DISH,assets/photos/287.jpg,https://www.allrecipes.com/recipe/152937/ethiopian-cabbage-dish/,ok
